Scale,Item,Mean,Standard Deviation ,item-total score-corrected correlations
Negative affect scale,I have been feeling irritable,3.16,1.53,0.77
Negative affect scale,I feel building up pressure,3.26,1.61,0.77
Negative affect scale,I am feeling exhausted all the time,3.03,1.61,0.75
Negative affect scale,I have been sad,3.35,1.62,0.74
Negative affect scale,I feel tired during the day,3.51,1.6,0.71
Negative affect scale,I have been having doubts of anxiety/ panic attacks,2.62,1.64,0.71
Negative affect scale,I feel I have been losing my sanity,2.33,1.4,0.68
Negative affect scale,I feel no motivation to do anything,2.63,1.53,0.68
Negative affect scale,I find it harder to get out of bed in the morning,2.62,1.61,0.64
Negative affect scale,My dreams have been more emotional/ anxious,2.87,1.6,0.48
Negative affect scale,My daily life is lacking structure,2.77,1.5,0.46
Situational Loneliness scale,I miss daily conversations with my colleagues,2.72,2.64,2.72
Situational Loneliness scale,I try to stay in touch with my colleages every day,2.16,2.3,2.16
Situational Loneliness scale,I feel lonely,1.76,2.06,1.76
Situational anxiety scale,I feel anxious about my future,3.62,1.59,0.72
Situational anxiety scale,I worry about my job stability,3.39,1.73,0.67
Situational anxiety scale,I worry about my family/friends,4.43,1.39,0.55
Situational anxiety scale,I worry about housing instability ,2.49,1.54,0.54
Situational anxiety scale,I am afraid of an approaching economic crisis,4.8,1.22,0.54
Situational anxiety scale,The current crisis will further social inequalities,5.01,1.17,0.37
Family and social support scale,I feel comfortable having my family/partner/roommates/flatmates around during this time,4.34,2.14,0.76
Family and social support scale,I have good relations at home,4.63,2.12,0.72
Family and social support scale,I enjoy being able to spend more time with my family/children/partner,3.95,2.27,0.65
Family and social support scale,I feel the support of my family/flatmates/friends/community during this time,4.68,1.67,0.38
