REF_DATE,Institution,Rank,total_teaching_staff,teaching_staff_excluded,average_salary,median_salary,tenth_percentile_salaries,nintyth_percentile_salaries
2016/2017,Acadia University,All ranks combined (including deans),174,6,109775,110625,81825,132475
2016/2017,Acadia University,Assistant professor,24,-Inf,86350,83275,76900,100375
2016/2017,Acadia University,Associate professor,48,-Inf,104875,104300,93975,112725
2016/2017,Acadia University,Associate professor - With senior administrative duties,9,-Inf,110025,-Inf,-Inf,-Inf
2016/2017,Acadia University,Associate professor - Without senior administrative duties,42,-Inf,103900,104300,93750,112725
2016/2017,Acadia University,Females,57,-Inf,105500,106400,76275,129575
2016/2017,Acadia University,Full professor,84,9,120725,119050,109975,134700
2016/2017,Acadia University,Full professor - With senior administrative duties,12,6,127025,126850,112100,144375
2016/2017,Acadia University,Full professor - Without senior administrative duties,75,3,119700,119050,108500,133800
2016/2017,Acadia University,Males,117,-Inf,111800,112725,89550,133800
2016/2017,Acadia University,Other (not elsewhere classified),-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2016/2017,Acadia University,Rank or level below assistant professor,6,-Inf,75575,-Inf,-Inf,-Inf
2016/2017,Athabasca University,All ranks combined (including deans),177,-Inf,121175,114750,83350,168650
2016/2017,Athabasca University,Assistant professor,27,-Inf,89750,87075,75000,111300
2016/2017,Athabasca University,Associate professor,72,-Inf,122475,119400,100825,148800
2016/2017,Athabasca University,Associate professor - With senior administrative duties,15,-Inf,129650,127275,102750,162050
2016/2017,Athabasca University,Associate professor - Without senior administrative duties,57,-Inf,120700,119400,99675,143325
2016/2017,Athabasca University,Females,84,-Inf,120325,114000,81850,167850
2016/2017,Athabasca University,Full professor,24,3,147050,144950,116875,177375
2016/2017,Athabasca University,Full professor - With senior administrative duties,9,3,147575,154925,110675,177525
2016/2017,Athabasca University,Full professor - Without senior administrative duties,15,-Inf,146625,140975,118675,183025
2016/2017,Athabasca University,Males,93,-Inf,121900,116000,83275,169175
2016/2017,Athabasca University,Other (not elsewhere classified),30,-Inf,100350,101700,78900,116300
2016/2017,Athabasca University,Rank or level below assistant professor,18,-Inf,144850,159325,78025,182775
2016/2017,Brandon University,All ranks combined (including deans),180,-Inf,109800,102600,79725,151225
2016/2017,Brandon University,Assistant professor,72,-Inf,90600,91150,79725,102600
2016/2017,Brandon University,Associate professor,48,-Inf,116275,117750,101125,133300
