REF_DATE,GEO,DGUID,Classification_of_Instructional_Program_(CIP),Population_characteristics,Employment,Role,avg_hours_class_teaching,avg_hours_other_teaching,avg_hours_research,avg_hours_administrative,avg_hours_total
2019,Atlantic provinces,2016A00011,BHASE [b],Female gender [F],More than one job or business,"College professor, instructor, teacher, or researcher",11.5,11.7,1.3,1.4,39
2019,Atlantic provinces,2016A00011,BHASE [b],Female gender [F],More than one job or business,"Contract, college professor, instructor, teacher, or researcher",8.9,6.8,0.8,0.5,30
2019,Atlantic provinces,2016A00011,BHASE [b],Female gender [F],More than one job or business,"Contract, university professor, instructor, teacher, or researcher",4.8,5.8,4.4,2.2,42
2019,Atlantic provinces,2016A00011,BHASE [b],Female gender [F],More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",14.2,16.8,1.8,2.3,48
2019,Atlantic provinces,2016A00011,BHASE [b],Female gender [F],More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",4.2,7.7,6.5,6.7,49
2019,Atlantic provinces,2016A00011,BHASE [b],Female gender [F],More than one job or business,"Role, total",6,7.8,4.5,3.7,44
2019,Atlantic provinces,2016A00011,BHASE [b],Female gender [F],More than one job or business,"University professor, instructor, teacher, or researcher",4.5,6.7,5.4,4.3,45
2019,Atlantic provinces,2016A00011,BHASE [b],Female gender [F],Only job,"College professor, instructor, teacher, or researcher",17,16.2,1.8,4.8,40
2019,Atlantic provinces,2016A00011,BHASE [b],Female gender [F],Only job,"Contract, college professor, instructor, teacher, or researcher",14.2,11.6,2.8,7.2,36
2019,Atlantic provinces,2016A00011,BHASE [b],Female gender [F],Only job,"Contract, university professor, instructor, teacher, or researcher",7.1,12.7,8.2,3.3,31
2019,Atlantic provinces,2016A00011,BHASE [b],Female gender [F],Only job,"Permanent, college professor, instructor, teacher, or researcher",18.6,18.6,1.3,3.5,42
2019,Atlantic provinces,2016A00011,BHASE [b],Female gender [F],Only job,"Permanent, university professor, instructor, teacher, or researcher",7.9,14.3,13,9.8,45
2019,Atlantic provinces,2016A00011,BHASE [b],Female gender [F],Only job,"Role, total",10.4,14.5,8.7,7,41
2019,Atlantic provinces,2016A00011,BHASE [b],Female gender [F],Only job,"University professor, instructor, teacher, or researcher",7.7,13.8,11.5,7.9,41
2019,Atlantic provinces,2016A00011,BHASE [b],Gender diverse [D],More than one job or business,"College professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Gender diverse [D],More than one job or business,"Contract, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Gender diverse [D],More than one job or business,"Contract, university professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Gender diverse [D],More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Gender diverse [D],More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Gender diverse [D],More than one job or business,"Role, total",1.3,8.1,29,0.7,62
2019,Atlantic provinces,2016A00011,BHASE [b],Gender diverse [D],More than one job or business,"University professor, instructor, teacher, or researcher",1.3,8.1,29,0.7,62
2019,Atlantic provinces,2016A00011,BHASE [b],Gender diverse [D],Only job,"College professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Gender diverse [D],Only job,"Contract, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Gender diverse [D],Only job,"Contract, university professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
